/Library/Java/JavaVirtualMachines/jdk-18.jdk/Contents/Home/bin/java -javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=65308:/Applications/IntelliJ IDEA CE.app/Contents/bin -Dfile.encoding=UTF-8 -classpath /Users/will/Documents/middlesex/CST3170_AI/UCI_OPTICAL_RECOGNITION/out/production/UCI_OPTICAL_RECOGNITION Main
Starting data loading...
Images Train size: 2810
Images Test size: 2810
Pre training success rate: 0.14768684
Success rate after round 0: 0.15800712
Success rate after round 1: 0.3153025
Success rate after round 2: 0.29715303
Success rate after round 3: 0.43451956
Success rate after round 4: 0.38754448
Success rate after round 5: 0.57437724
Success rate after round 6: 0.65017796
Success rate after round 7: 0.6669039
Success rate after round 8: 0.6868327
Success rate after round 9: 0.72313166
Success rate after round 10: 0.6807829
Success rate after round 11: 0.7327402
Success rate after round 12: 0.70533806
Success rate after round 13: 0.7900356
Success rate after round 14: 0.80854094
Success rate after round 15: 0.8021352
Success rate after round 16: 0.8039146
Success rate after round 17: 0.82846975
Success rate after round 18: 0.83202845
Success rate after round 19: 0.8227758
Success rate after round 20: 0.85266906
Success rate after round 21: 0.8508897
Success rate after round 22: 0.8647687
Success rate after round 23: 0.87437725
Success rate after round 24: 0.86370105
Success rate after round 25: 0.883274
Success rate after round 26: 0.88540924
Success rate after round 27: 0.8811388
Success rate after round 28: 0.8946619
Success rate after round 29: 0.8960854
Success rate after round 30: 0.8967972
Success rate after round 31: 0.88790035
Success rate after round 32: 0.90355873
Success rate after round 33: 0.90427047
Success rate after round 34: 0.8960854
Success rate after round 35: 0.9106762
Success rate after round 36: 0.91316724
Success rate after round 37: 0.91601425
Success rate after round 38: 0.9142349
Success rate after round 39: 0.91565835
Success rate after round 40: 0.9103203
Success rate after round 41: 0.91992885
Success rate after round 42: 0.9206406
Success rate after round 43: 0.9206406
Success rate after round 44: 0.90960854
Success rate after round 45: 0.92313164
Success rate after round 46: 0.92384344
Success rate after round 47: 0.9252669
Success rate after round 48: 0.91992885
Success rate after round 49: 0.92313164
Success rate after round 50: 0.9281139
Success rate after round 51: 0.9252669
Success rate after round 52: 0.92206407
Success rate after round 53: 0.924911
Success rate after round 54: 0.93096083
Success rate after round 55: 0.92989326
Success rate after round 56: 0.927758
Success rate after round 57: 0.92740214
Success rate after round 58: 0.92384344
Success rate after round 59: 0.9323843
Success rate after round 60: 0.9327402
Success rate after round 61: 0.930605
Success rate after round 62: 0.92989326
Success rate after round 63: 0.9327402
Success rate after round 64: 0.9341637
Success rate after round 65: 0.930605
Success rate after round 66: 0.9352313
Success rate after round 67: 0.9345196
Success rate after round 68: 0.9320285
Success rate after round 69: 0.9341637
Success rate after round 70: 0.9348754
Success rate after round 71: 0.9366548
Success rate after round 72: 0.9352313
Success rate after round 73: 0.92989326
Success rate after round 74: 0.9366548
Success rate after round 75: 0.93736655
Success rate after round 76: 0.93558717
Success rate after round 77: 0.93736655
Success rate after round 78: 0.93594307
Success rate after round 79: 0.9366548
Success rate after round 80: 0.9391459
Success rate after round 81: 0.9419929
Success rate after round 82: 0.9352313
Success rate after round 83: 0.93950176
Success rate after round 84: 0.9423488
Success rate after round 85: 0.94128114
Success rate after round 86: 0.9427046
Success rate after round 87: 0.93985766
Success rate after round 88: 0.9384342
Success rate after round 89: 0.9427046
Success rate after round 90: 0.94519573
Success rate after round 91: 0.9441281
Success rate after round 92: 0.9405694
Success rate after round 93: 0.9427046
Success rate after round 94: 0.94483984
Success rate after round 95: 0.9430605
Success rate after round 96: 0.9466192
Success rate after round 97: 0.9419929
Success rate after round 98: 0.94341636
Success rate after round 99: 0.94092524
Success rate after round 100: 0.9427046
Success rate after round 101: 0.9466192
Success rate after round 102: 0.94768685
Success rate after round 103: 0.944484
Success rate after round 104: 0.94483984
Success rate after round 105: 0.9466192
Success rate after round 106: 0.9441281
Success rate after round 107: 0.944484
Success rate after round 108: 0.9455516
Success rate after round 109: 0.9469751
Success rate after round 110: 0.9508897
Success rate after round 111: 0.9441281
Success rate after round 112: 0.9469751
Success rate after round 113: 0.9483986
Success rate after round 114: 0.94733095
Success rate after round 115: 0.94733095
Success rate after round 116: 0.9430605
Success rate after round 117: 0.9505338
Success rate after round 118: 0.9491103
Success rate after round 119: 0.9505338
Success rate after round 120: 0.94875443
Success rate after round 121: 0.94768685
Success rate after round 122: 0.95160145
Success rate after round 123: 0.9505338
Success rate after round 124: 0.944484
Success rate after round 125: 0.9480427
Success rate after round 126: 0.9505338
Success rate after round 127: 0.9519573
Success rate after round 128: 0.95124555
Success rate after round 129: 0.94768685
Success rate after round 130: 0.95160145
Success rate after round 131: 0.94768685
Success rate after round 132: 0.9455516
Success rate after round 133: 0.95124555
Success rate after round 134: 0.9480427
Success rate after round 135: 0.93950176
Success rate after round 136: 0.9508897
Success rate after round 137: 0.9501779
Success rate after round 138: 0.95338076
Success rate after round 139: 0.9530249
Success rate after round 140: 0.9519573
Success rate after round 141: 0.952669
Success rate after round 142: 0.95124555
Success rate after round 143: 0.9530249
Success rate after round 144: 0.9540925
Success rate after round 145: 0.952669
Success rate after round 146: 0.9544484
Success rate after round 147: 0.9530249
Success rate after round 148: 0.9540925
Success rate after round 149: 0.9530249
Success rate after round 150: 0.95373666
Success rate after round 151: 0.9540925
Success rate after round 152: 0.95480424
Success rate after round 153: 0.95160145
Success rate after round 154: 0.95373666
Success rate after round 155: 0.9530249
Success rate after round 156: 0.95338076
Success rate after round 157: 0.95729536
Success rate after round 158: 0.95516014
Success rate after round 159: 0.9558719
Success rate after round 160: 0.95516014
Success rate after round 161: 0.952669
Success rate after round 162: 0.95516014
Success rate after round 163: 0.95373666
Success rate after round 164: 0.9562278
Success rate after round 165: 0.94768685
Success rate after round 166: 0.9544484
Success rate after round 167: 0.95516014
Success rate after round 168: 0.9562278
Success rate after round 169: 0.9562278
Success rate after round 170: 0.9562278
Success rate after round 171: 0.9562278
Success rate after round 172: 0.9562278
Success rate after round 173: 0.9562278
Success rate after round 174: 0.95480424
Success rate after round 175: 0.9562278
Success rate after round 176: 0.9562278
Success rate after round 177: 0.95480424
Success rate after round 178: 0.95516014
Success rate after round 179: 0.95551604
Success rate after round 180: 0.958363
Success rate after round 181: 0.9580071
Success rate after round 182: 0.95551604
Success rate after round 183: 0.9580071
Success rate after round 184: 0.952669
Success rate after round 185: 0.9580071
Success rate after round 186: 0.9580071
Success rate after round 187: 0.9597865
Success rate after round 188: 0.9580071
Success rate after round 189: 0.95729536
Success rate after round 190: 0.95871884
Success rate after round 191: 0.9580071
Success rate after round 192: 0.9597865
Success rate after round 193: 0.9569395
Success rate after round 194: 0.9608541
Success rate after round 195: 0.9594306
Success rate after round 196: 0.958363
Success rate after round 197: 0.9608541
Success rate after round 198: 0.95871884
Success rate after round 199: 0.9597865

Process finished with exit code 0
