/Library/Java/JavaVirtualMachines/jdk-18.jdk/Contents/Home/bin/java -javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=65175:/Applications/IntelliJ IDEA CE.app/Contents/bin -Dfile.encoding=UTF-8 -classpath /Users/will/Documents/middlesex/CST3170_AI/UCI_OPTICAL_RECOGNITION/out/production/UCI_OPTICAL_RECOGNITION Main
Starting data loading...
Images Train size: 2810
Images Test size: 2810
Pre training success rate: 0.13202848
Success rate after round 0: 0.22455516
Success rate after round 1: 0.28185055
Success rate after round 2: 0.3316726
Success rate after round 3: 0.48078293
Success rate after round 4: 0.49857652
Success rate after round 5: 0.6241993
Success rate after round 6: 0.6505338
Success rate after round 7: 0.6943061
Success rate after round 8: 0.6836299
Success rate after round 9: 0.7281139
Success rate after round 10: 0.7220641
Success rate after round 11: 0.7377224
Success rate after round 12: 0.7327402
Success rate after round 13: 0.77864766
Success rate after round 14: 0.7850534
Success rate after round 15: 0.79074734
Success rate after round 16: 0.80711746
Success rate after round 17: 0.82099646
Success rate after round 18: 0.80818504
Success rate after round 19: 0.833452
Success rate after round 20: 0.82811385
Success rate after round 21: 0.8405694
Success rate after round 22: 0.8163701
Success rate after round 23: 0.8494662
Success rate after round 24: 0.8544484
Success rate after round 25: 0.8551601
Success rate after round 26: 0.8594306
Success rate after round 27: 0.8587189
Success rate after round 28: 0.85658365
Success rate after round 29: 0.86405694
Success rate after round 30: 0.8708185
Success rate after round 31: 0.8697509
Success rate after round 32: 0.8654804
Success rate after round 33: 0.8725979
Success rate after round 34: 0.8690391
Success rate after round 35: 0.869395
Success rate after round 36: 0.8729537
Success rate after round 37: 0.87615657
Success rate after round 38: 0.8782918
Success rate after round 39: 0.87366545
Success rate after round 40: 0.87366545
Success rate after round 41: 0.87758005
Success rate after round 42: 0.8807829
Success rate after round 43: 0.8825623
Success rate after round 44: 0.8797153
Success rate after round 45: 0.88185054
Success rate after round 46: 0.8790036
Success rate after round 47: 0.8822064
Success rate after round 48: 0.8829182
Success rate after round 49: 0.8836299
Success rate after round 50: 0.8822064
Success rate after round 51: 0.8868327
Success rate after round 52: 0.88185054
Success rate after round 53: 0.88825625
Success rate after round 54: 0.88185054
Success rate after round 55: 0.8868327
Success rate after round 56: 0.88398576
Success rate after round 57: 0.8846975
Success rate after round 58: 0.8822064
Success rate after round 59: 0.88932383
Success rate after round 60: 0.8868327
Success rate after round 61: 0.8797153
Success rate after round 62: 0.8911032
Success rate after round 63: 0.8850534
Success rate after round 64: 0.8811388
Success rate after round 65: 0.89145905
Success rate after round 66: 0.8868327
Success rate after round 67: 0.89145905
Success rate after round 68: 0.89430606
Success rate after round 69: 0.89003557
Success rate after round 70: 0.89039147
Success rate after round 71: 0.8875445
Success rate after round 72: 0.89003557
Success rate after round 73: 0.8964413
Success rate after round 74: 0.88967973
Success rate after round 75: 0.89145905
Success rate after round 76: 0.8935943
Success rate after round 77: 0.89181495
Success rate after round 78: 0.89537364
Success rate after round 79: 0.89145905
Success rate after round 80: 0.89430606
Success rate after round 81: 0.89537364
Success rate after round 82: 0.89430606
Success rate after round 83: 0.8911032
Success rate after round 84: 0.8928826
Success rate after round 85: 0.89822066
Success rate after round 86: 0.89786476
Success rate after round 87: 0.8925267
Success rate after round 88: 0.89964414
Success rate after round 89: 0.8985765
Success rate after round 90: 0.89537364
Success rate after round 91: 0.89537364
Success rate after round 92: 0.9007117
Success rate after round 93: 0.9
Success rate after round 94: 0.9
Success rate after round 95: 0.8989324
Success rate after round 96: 0.8985765
Success rate after round 97: 0.9003559
Success rate after round 98: 0.8989324
Success rate after round 99: 0.8960854
Success rate after round 100: 0.9003559
Success rate after round 101: 0.9024911
Success rate after round 102: 0.90569395
Success rate after round 103: 0.89928824
Success rate after round 104: 0.89822066
Success rate after round 105: 0.9039146
